City,Country,Date,Temp,Humidity,Cloudiness,Wind Speed,Latitude,Longitude
new norfolk,AU,1586627299,52.0,62,90,10.29,-42.78,147.06
luoyang,CN,1586627704,53.01,99,0,4.09,34.68,112.45
husavik,IS,1586627704,37.4,93,75,18.34,66.04,-17.34
saint george,US,1586627283,61.0,58,1,4.88,37.1,-113.58
mar del plata,AR,1586627146,73.0,60,40,14.99,-38.0,-57.56
dikson,RU,1586627318,13.53,92,100,5.86,73.51,80.55
kapaa,US,1586627313,73.4,73,1,11.41,22.08,-159.32
xichang,CN,1586627706,53.76,42,55,4.09,27.9,102.26
hilo,US,1586627250,70.0,77,20,1.28,19.73,-155.09
vaini,TO,1586627304,64.4,100,20,3.36,-21.2,-175.2
souillac,MU,1586627339,78.01,73,75,13.87,-20.52,57.52
coquimbo,CL,1586627346,64.4,63,100,10.29,-29.95,-71.34
sinnamary,GF,1586627323,82.42,69,93,12.1,5.38,-52.95
castro,BR,1586627302,71.26,42,63,3.18,-24.79,-50.01
rikitea,PF,1586627298,76.73,74,94,3.83,-23.12,-134.97
bluff,NZ,1586627308,54.0,74,100,5.01,-46.6,168.33
albany,US,1586627305,50.0,36,75,20.8,42.6,-73.97
basco,PH,1586627709,76.91,75,54,11.18,20.45,121.97
victoria,HK,1586627302,68.0,88,40,16.11,22.29,114.16
san patricio,MX,1586627319,86.0,74,40,11.41,19.22,-104.7
hobart,AU,1586627297,52.0,62,90,10.29,-42.88,147.33
constitucion,CL,1586627710,62.85,60,100,12.77,-35.33,-72.42
nome,US,1586627324,21.2,92,40,8.05,64.5,-165.41
omsukchan,RU,1586627711,3.24,85,100,3.36,62.53,155.8
thompson,CA,1586627320,24.8,68,90,6.93,55.74,-97.86
ponta do sol,PT,1586627299,64.4,68,75,12.75,32.67,-17.1
vardo,NO,1586627324,28.76,89,98,10.45,70.37,31.11
carauari,BR,1586627712,91.06,50,53,1.74,-4.88,-66.9
omboue,GA,1586627712,77.83,86,100,3.2,-1.57,9.26
bairiki,KI,1586627713,82.4,83,20,8.05,1.33,172.98
talnakh,RU,1586627243,32.0,97,75,35.79,69.49,88.4
faya,SA,1586627327,66.2,82,20,8.05,18.39,42.45
qaanaaq,GL,1586627303,13.87,78,77,3.33,77.48,-69.36
turukhansk,RU,1586627318,34.38,89,100,17.02,65.82,87.98
rajpipla,IN,1586627714,90.36,17,3,9.06,21.87,73.5
tasiilaq,GL,1586627316,32.0,90,40,16.11,65.61,-37.64
komsomolskiy,UZ,1586627334,55.4,82,90,2.24,40.43,71.72
cabedelo,BR,1586627357,89.6,62,20,10.29,-6.98,-34.83
butaritari,KI,1586627301,83.77,76,78,12.77,3.07,172.79
punta arenas,CL,1586627158,48.2,66,40,19.46,-53.15,-70.92
kropotkin,RU,1586627350,45.28,59,36,9.26,45.44,40.58
ushuaia,AR,1586627297,48.2,49,40,18.34,-54.8,-68.3
barrow,US,1586627297,-14.8,83,75,11.41,71.29,-156.79
ribeira grande,PT,1586627317,64.4,77,20,4.7,38.52,-28.7
upernavik,GL,1586627314,21.72,90,100,1.41,72.79,-56.15
san rafael del sur,NI,1586627717,93.2,41,75,16.11,11.85,-86.44
tautira,PF,1586627326,84.2,74,75,3.36,-17.73,-149.15
dunedin,NZ,1586627542,51.01,94,78,3.0,-45.87,170.5
tuatapere,NZ,1586627308,54.0,74,89,5.01,-46.13,167.68
kholtoson,RU,1586627719,39.6,37,90,2.1,50.3,103.31
manokwari,ID,1586627719,80.92,70,83,2.06,-0.87,134.08
alyangula,AU,1586627720,77.0,94,40,1.12,-13.85,136.42
san juan de los morros,VE,1586627720,95.31,22,45,7.87,9.91,-67.35
hami,CN,1586627349,58.96,18,99,1.07,42.8,93.45
yenagoa,NG,1586627721,76.57,74,93,4.92,4.92,6.26
cockburn town,TC,1586627571,79.41,71,0,4.47,21.46,-71.14
esperance,AU,1586627311,68.0,68,81,17.22,-33.87,121.9
busselton,AU,1586627305,68.0,53,100,6.13,-33.65,115.33
jamestown,US,1586627009,45.0,47,1,11.41,42.1,-79.24
lebu,CL,1586627299,59.7,56,0,16.24,-37.62,-73.65
new port richey,US,1586627722,86.0,51,1,3.31,28.24,-82.72
iqaluit,CA,1586627317,23.0,79,90,2.51,63.75,-68.51
leningradskiy,RU,1586627326,7.84,84,100,4.12,69.38,178.42
deputatskiy,RU,1586627310,22.01,92,93,14.65,69.3,139.9
kodiak,US,1586627308,39.2,80,90,17.22,57.79,-152.41
dolores,AR,1586627724,73.72,42,0,6.71,-36.31,-57.68
lerwick,GB,1586627724,46.4,93,90,19.46,60.15,-1.15
alofi,NU,1586627314,66.2,100,100,1.12,-19.06,-169.92
palmerston,AU,1586627523,79.0,83,75,6.93,-12.49,130.98
ketchikan,US,1586627443,42.8,41,1,5.82,55.34,-131.65
wenchi,GH,1586627726,83.95,60,60,2.91,7.74,-2.1
ostersund,SE,1586627726,41.0,52,100,10.29,63.18,14.64
